Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
2018-06-19 23:13:31.082403,22.06.2018,CALL,157.5,AAPL180622C00157500,26.21,28.0,28.7,-6.09,-18.85449,4,5,0.9511723632812499
2018-06-19 23:13:31.082403,22.06.2018,PUT,147.0,AAPL180622P00147000,0.01,0.0,0.03,0.0,0.0,1,14,0.9531254687499999
2018-06-19 23:13:31.082403,22.06.2018,PUT,149.0,AAPL180622P00149000,0.12,0.04,0.16,0.0,0.0,6,6,1.1367230664062502
2018-06-19 23:13:31.082403,22.06.2018,PUT,150.0,AAPL180622P00150000,0.01,0.0,0.03,-0.02,-66.66667,5,898,0.87500125
2018-06-19 23:13:31.082403,22.06.2018,PUT,152.5,AAPL180622P00152500,0.02,0.0,0.01,0.0,0.0,387,387,0.73437765625
2018-06-19 23:13:31.082403,22.06.2018,PUT,155.0,AAPL180622P00155000,0.01,0.0,0.03,-0.02,-66.66667,2,176,0.7500025
2018-06-19 23:13:31.082403,22.06.2018,PUT,157.5,AAPL180622P00157500,0.01,0.0,0.03,-0.02,-66.66667,7,41,0.6953155468750001
2018-06-19 23:13:31.082403,22.06.2018,PUT,160.0,AAPL180622P00160000,0.03,0.0,0.02,0.02,200.0,18,762,0.6093789062500001
2018-06-19 23:13:31.082403,22.06.2018,PUT,162.5,AAPL180622P00162500,0.02,0.0,0.02,0.01,100.0,305,204,0.5468795312500001
2018-06-19 23:13:31.082403,22.06.2018,PUT,165.0,AAPL180622P00165000,0.02,0.0,0.02,0.01,100.0,712,969,0.5312546875
2018-06-19 23:13:31.082403,22.06.2018,PUT,167.5,AAPL180622P00167500,0.02,0.01,0.03,0.01,100.0,147,233,0.49609878906250005
2018-06-19 23:13:31.082403,22.06.2018,PUT,170.0,AAPL180622P00170000,0.04,0.03,0.04,0.02,100.0,3158,1630,0.45117736328125
2018-06-19 23:13:31.082403,22.06.2018,PUT,172.5,AAPL180622P00172500,0.05,0.05,0.06,0.030000001,150.00002,2547,1169,0.4101621484375
2018-06-19 23:13:31.082403,22.06.2018,PUT,175.0,AAPL180622P00175000,0.06,0.06,0.08,0.03,100.0,2278,3085,0.35938140625
2018-06-19 23:13:31.082403,22.06.2018,PUT,177.5,AAPL180622P00177500,0.12,0.1,0.11,0.06999999,139.99998,2492,2907,0.305671005859375
2018-06-19 23:13:31.082403,22.06.2018,PUT,180.0,AAPL180622P00180000,0.18,0.18,0.2,0.10000001,125.000015,11485,6512,0.264655791015625
2018-06-19 23:13:31.082403,22.06.2018,PUT,182.5,AAPL180622P00182500,0.42,0.41,0.43,0.26999998,179.99998,20904,5373,0.22852333984375
2018-06-19 23:13:31.082403,22.06.2018,PUT,185.0,AAPL180622P00185000,1.02,1.0,1.03,0.66999996,191.42856,25465,11811,0.20093572509765623
2018-06-19 23:13:31.082403,22.06.2018,PUT,187.5,AAPL180622P00187500,2.38,2.3,2.37,1.4800001,164.44446,9237,8701,0.187508125
2018-06-19 23:13:31.082403,22.06.2018,PUT,190.0,AAPL180622P00190000,4.39,4.25,4.45,2.29,109.04763,2469,14254,0.1909260595703125
2018-06-19 23:13:31.082403,22.06.2018,PUT,192.5,AAPL180622P00192500,6.98,6.65,6.85,2.98,74.5,803,13528,0.20899228515624996
2018-06-19 23:13:31.082403,22.06.2018,PUT,195.0,AAPL180622P00195000,9.26,9.1,9.3,3.1100001,50.569107,175,1433,1.0000000000000003e-05
