Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
2018-06-19 23:16:00.194932,06.07.2018,CALL,48.0,MS180706C00048000,2.42,2.34,2.37,-0.73,-23.174603,20,296,0.27686270019531245
2018-06-19 23:16:00.194932,06.07.2018,CALL,49.0,MS180706C00049000,2.19,2.8,3.05,0.0,0.0,1,1,0.5727581787109376
2018-06-19 23:16:00.194932,06.07.2018,CALL,50.0,MS180706C00050000,1.01,0.98,1.01,-0.85,-45.698925,57,68,0.24414818359375
2018-06-19 23:16:00.194932,06.07.2018,CALL,51.0,MS180706C00051000,0.57,0.54,0.58,-0.39,-40.625,22,519,0.23731231445312498
2018-06-19 23:16:00.194932,06.07.2018,CALL,52.0,MS180706C00052000,0.31,0.28,0.31,-0.16,-34.042553,5,614,0.23535920898437498
2018-06-19 23:16:00.194932,06.07.2018,CALL,53.0,MS180706C00053000,0.14,0.13,0.17,-0.13000001,-48.148148,17,69,0.243171630859375
2018-06-19 23:16:00.194932,06.07.2018,CALL,54.0,MS180706C00054000,0.06,0.06,0.12,-0.06999999,-53.84615,4,353,0.26758544921875
2018-06-19 23:16:00.194932,06.07.2018,CALL,55.0,MS180706C00055000,0.23,0.02,0.06,0.0,0.0,1,20,0.2695385546875
2018-06-19 23:16:00.194932,06.07.2018,CALL,56.0,MS180706C00056000,0.06,0.0,0.05,0.02,50.0,2,67,0.29688203124999996
2018-06-19 23:16:00.194932,06.07.2018,PUT,45.0,MS180706P00045000,0.04,0.06,0.09,0.0,0.0,7,57,0.31641308593749995
2018-06-19 23:16:00.194932,06.07.2018,PUT,46.0,MS180706P00046000,0.09,0.0,0.12,0.0,0.0,1,3,0.28125718749999995
2018-06-19 23:16:00.194932,06.07.2018,PUT,47.0,MS180706P00047000,0.18,0.18,0.22,-0.15,-45.454548,3,23,0.2700268310546875
2018-06-19 23:16:00.194932,06.07.2018,PUT,48.0,MS180706P00048000,0.19,0.18,0.21,0.00999999,5.55555,10,50,0.20020331054687499
2018-06-19 23:16:00.194932,06.07.2018,PUT,49.0,MS180706P00049000,0.54,0.58,0.6,0.15000004,38.461548,4,295,0.233406103515625
2018-06-19 23:16:00.194932,06.07.2018,PUT,50.0,MS180706P00050000,1.0,0.97,1.0,0.38,61.290325,92,704,0.22315229980468748
2018-06-19 23:16:00.194932,06.07.2018,PUT,51.0,MS180706P00051000,1.5,1.54,1.57,0.39999998,36.363636,10,382,0.2148516015625
2018-06-19 23:16:00.194932,06.07.2018,PUT,52.0,MS180706P00052000,2.28,2.18,2.4,0.62,37.3494,1,60,0.2387771435546875
2018-06-19 23:16:00.194932,06.07.2018,PUT,53.0,MS180706P00053000,1.38,1.74,1.76,0.0,0.0,2,32,1.0000000000000003e-05
2018-06-19 23:16:00.194932,06.07.2018,PUT,54.0,MS180706P00054000,4.1,4.05,4.15,0.77,23.123123,14,149,0.23633576171874998
2018-06-19 23:16:00.194932,06.07.2018,PUT,55.0,MS180706P00055000,4.3,5.0,5.1,0.0,0.0,19,208,0.22266402343749997
2018-06-19 23:16:00.194932,06.07.2018,PUT,56.0,MS180706P00056000,6.0,6.0,6.1,0.75,14.285715,30,254,0.257819921875
2018-06-19 23:16:00.194932,06.07.2018,PUT,57.0,MS180706P00057000,6.21,6.45,7.3,0.0,0.0,2,173,0.45898978515625005
2018-06-19 23:16:00.194932,06.07.2018,PUT,58.0,MS180706P00058000,6.15,4.35,7.8,-0.8499999,-13.821136,9,9,1.0000000000000003e-05
2018-06-19 23:16:00.194932,13.07.2018,CALL,47.0,MS180713C00047000,4.05,3.05,3.45,0.0,0.0,3,3,0.31836619140624994
2018-06-19 23:16:00.194932,13.07.2018,CALL,50.0,MS180713C00050000,1.27,1.1,1.29,-0.28999996,-18.589743,220,46,0.2602613037109375
2018-06-19 23:16:00.194932,13.07.2018,CALL,51.0,MS180713C00051000,0.77,0.54,0.84,-0.28999996,-27.358488,2,62,0.25391371093750004
2018-06-19 23:16:00.194932,13.07.2018,CALL,52.0,MS180713C00052000,0.41,0.4,0.51,-0.29,-41.428574,32,158,0.24805439453125
2018-06-19 23:16:00.194932,13.07.2018,CALL,53.0,MS180713C00053000,0.33,0.21,0.29,0.0,0.0,71,451,0.2436599072265625
2018-06-19 23:16:00.194932,13.07.2018,CALL,54.0,MS180713C00054000,0.11,0.07,0.2,-0.11,-50.0,2,394,0.25879647460937505
2018-06-19 23:16:00.194932,13.07.2018,CALL,55.0,MS180713C00055000,0.08,0.05,0.12,-0.04,-33.333336,262,609,0.26367923828125
2018-06-19 23:16:00.194932,13.07.2018,CALL,56.0,MS180713C00056000,0.14,0.08,0.47,0.0,0.0,11,13,0.4370173486328125
2018-06-19 23:16:00.194932,13.07.2018,CALL,58.0,MS180713C00058000,0.03,0.0,0.11,-0.04,-57.142853,4,4,0.36133451171875
2018-06-19 23:16:00.194932,13.07.2018,PUT,44.0,MS180713P00044000,0.06,0.07,0.18,0.0,0.0,10,0,0.36524072265625
2018-06-19 23:16:00.194932,13.07.2018,PUT,45.0,MS180713P00045000,0.1,0.09,0.16,-0.059999995,-37.499996,80,1,0.305671005859375
2018-06-19 23:16:00.194932,13.07.2018,PUT,46.0,MS180713P00046000,0.43,0.13,0.4,0.0,0.0,2,2,0.34278000976562495
2018-06-19 23:16:00.194932,13.07.2018,PUT,47.0,MS180713P00047000,0.28,0.2,0.34,0.09,47.368423,5,2,0.26563234375
2018-06-19 23:16:00.194932,13.07.2018,PUT,48.0,MS180713P00048000,0.47,0.36,0.48,0.25,113.63636,38,226,0.24073024902343748
2018-06-19 23:16:00.194932,13.07.2018,PUT,49.0,MS180713P00049000,0.77,0.6,0.9,0.38,97.4359,4,113,0.25879647460937505
2018-06-19 23:16:00.194932,13.07.2018,PUT,50.0,MS180713P00050000,1.08,0.98,1.22,0.28000003,35.000004,50,91,0.2309647216796875
2018-06-19 23:16:00.194932,13.07.2018,PUT,51.0,MS180713P00051000,1.84,1.52,1.79,0.62,50.81967,43,51,0.22705851074218747
2018-06-19 23:16:00.194932,13.07.2018,PUT,52.0,MS180713P00052000,2.3,2.18,2.6,0.81999993,55.405403,3,8,0.25049577636718745
2018-06-19 23:16:00.194932,13.07.2018,PUT,53.0,MS180713P00053000,3.16,3.15,3.35,0.59000015,22.957205,2,57,0.23780059082031246
2018-06-19 23:16:00.194932,13.07.2018,PUT,54.0,MS180713P00054000,3.3,2.95,3.25,0.81999993,33.064514,1,6,1.0000000000000003e-05
2018-06-19 23:16:00.194932,13.07.2018,PUT,55.0,MS180713P00055000,3.32,3.45,3.6,0.0,0.0,8,8,1.0000000000000003e-05
2018-06-19 23:16:00.194932,13.07.2018,PUT,57.0,MS180713P00057000,7.25,6.85,7.25,1.8000002,33.027527,16,196,0.362311064453125
2018-06-19 23:16:00.194932,20.07.2018,CALL,32.0,MS180720C00032000,18.1,18.6,19.75,0.0,0.0,4,52,1.4501980615234376
2018-06-19 23:16:00.194932,20.07.2018,CALL,38.0,MS180720C00038000,13.2,12.55,13.9,0.0,0.0,101,231,1.0366259106445317
2018-06-19 23:16:00.194932,20.07.2018,CALL,40.0,MS180720C00040000,10.07,8.55,10.75,-1.25,-11.042403,4,12,0.762697685546875
2018-06-19 23:16:00.194932,20.07.2018,CALL,41.0,MS180720C00041000,10.11,9.3,10.95,0.0,0.0,15,15,0.8100604931640624
2018-06-19 23:16:00.194932,20.07.2018,CALL,42.0,MS180720C00042000,9.8,8.5,10.65,0.0,0.0,10,22,0.858399853515625
2018-06-19 23:16:00.194932,20.07.2018,CALL,43.0,MS180720C00043000,7.75,6.0,8.25,0.0,0.0,1,50,0.7128934960937501
2018-06-19 23:16:00.194932,20.07.2018,CALL,44.0,MS180720C00044000,7.62,6.75,8.45,0.0,0.0,10,105,0.726565234375
2018-06-19 23:16:00.194932,20.07.2018,CALL,45.0,MS180720C00045000,5.35,4.8,6.45,-1.19,-18.19572,3,120,0.6259803027343751
2018-06-19 23:16:00.194932,20.07.2018,CALL,46.0,MS180720C00046000,7.0,5.9,7.0,0.0,0.0,4,109,0.7553735400390625
2018-06-19 23:16:00.194932,20.07.2018,CALL,46.5,MS180720C00046500,4.6,3.7,4.15,0.0,0.0,6,6,0.3552310571289062
2018-06-19 23:16:00.194932,20.07.2018,CALL,47.0,MS180720C00047000,3.59,3.25,3.6,-0.9600003,-21.098906,22,103,0.31445998046874996
2018-06-19 23:16:00.194932,20.07.2018,CALL,47.5,MS180720C00047500,3.15,3.1,3.2,0.0,0.0,6,0,0.3051827294921875
2018-06-19 23:16:00.194932,20.07.2018,CALL,48.0,MS180720C00048000,2.86,2.71,3.2,-0.49,-14.626866,57,162,0.36939107177734376
2018-06-19 23:16:00.194932,20.07.2018,CALL,48.5,MS180720C00048500,2.24,2.37,2.81,0.0,0.0,30,0,0.35352208984374994
2018-06-19 23:16:00.194932,20.07.2018,CALL,49.0,MS180720C00049000,2.1,2.04,2.14,-1.0500002,-33.333336,528,473,0.28516339843749994
2018-06-19 23:16:00.194932,20.07.2018,CALL,49.5,MS180720C00049500,1.74,1.79,1.87,0.0,0.0,368,2,0.28565167480468745
2018-06-19 23:16:00.194932,20.07.2018,CALL,50.0,MS180720C00050000,1.59,1.52,1.6,-0.36,-18.461538,1147,10094,0.282233740234375
2018-06-19 23:16:00.194932,20.07.2018,CALL,50.5,MS180720C00050500,1.3,1.26,1.35,0.0,0.0,2672,156,0.278327529296875
2018-06-19 23:16:00.194932,20.07.2018,CALL,51.0,MS180720C00051000,1.16,1.01,1.11,0.0,0.0,5248,280,0.27149166015625
2018-06-19 23:16:00.194932,20.07.2018,CALL,51.5,MS180720C00051500,0.95,0.84,0.93,0.0,0.0,54,316,0.2710033837890625
2018-06-19 23:16:00.194932,20.07.2018,CALL,52.0,MS180720C00052000,0.71,0.64,0.73,0.0,0.0,911,129,0.2622144091796875
2018-06-19 23:16:00.194932,20.07.2018,CALL,52.5,MS180720C00052500,0.62,0.55,0.58,-0.089999974,-12.676053,364,12038,0.25830819824218754
2018-06-19 23:16:00.194932,20.07.2018,CALL,53.0,MS180720C00053000,0.49,0.39,0.46,0.0,0.0,25,111,0.2563550927734375
2018-06-19 23:16:00.194932,20.07.2018,CALL,53.5,MS180720C00053500,0.45,0.29,0.75,0.0,0.0,91,57,0.3437565625
2018-06-19 23:16:00.194932,20.07.2018,CALL,54.0,MS180720C00054000,0.29,0.26,0.33,0.0,0.0,68,77,0.26709717285156254
2018-06-19 23:16:00.194932,20.07.2018,CALL,54.5,MS180720C00054500,0.19,0.2,0.22,0.0,0.0,59,5,0.252937158203125
2018-06-19 23:16:00.194932,20.07.2018,CALL,55.0,MS180720C00055000,0.17,0.16,0.17,-0.049999997,-22.727272,5567,26146,0.252937158203125
2018-06-19 23:16:00.194932,20.07.2018,CALL,55.5,MS180720C00055500,0.11,0.11,0.14,0.0,0.0,20,2,0.256843369140625
2018-06-19 23:16:00.194932,20.07.2018,CALL,56.0,MS180720C00056000,0.16,0.09,0.11,0.0,0.0,8,8,0.25879647460937505
2018-06-19 23:16:00.194932,20.07.2018,CALL,57.0,MS180720C00057000,0.06,0.05,0.07,0.0,0.0,4,0,0.26367923828125
2018-06-19 23:16:00.194932,20.07.2018,CALL,57.5,MS180720C00057500,0.07,0.05,0.07,-0.009999998,-12.499998,70,6943,0.27735097656249996
2018-06-19 23:16:00.194932,20.07.2018,CALL,58.5,MS180720C00058500,0.04,0.01,0.05,0.0,0.0,5,0,0.28711650390624993
2018-06-19 23:16:00.194932,20.07.2018,CALL,60.0,MS180720C00060000,0.03,0.02,0.39,-0.01,-25.0,64,5766,0.499028447265625
2018-06-19 23:16:00.194932,20.07.2018,CALL,62.5,MS180720C00062500,0.03,0.0,0.03,0.01,50.0,1,306,0.35547519531249994
2018-06-19 23:16:00.194932,20.07.2018,CALL,65.0,MS180720C00065000,0.02,0.0,0.04,0.0,0.0,25,1131,0.42188078125
2018-06-19 23:16:00.194932,20.07.2018,CALL,70.0,MS180720C00070000,0.02,0.01,0.03,0.0,0.0,42,111,0.500005
2018-06-19 23:16:00.194932,20.07.2018,CALL,75.0,MS180720C00075000,0.06,0.0,0.05,0.0,0.0,25,141,0.5742230078125
2018-06-19 23:16:00.194932,20.07.2018,PUT,27.0,MS180720P00027000,0.01,0.0,0.02,0.0,0.0,3,97,0.79687703125
2018-06-19 23:16:00.194932,20.07.2018,PUT,28.0,MS180720P00028000,0.06,0.02,0.13,0.0,0.0,1,1,0.9609378906249999
2018-06-19 23:16:00.194932,20.07.2018,PUT,30.0,MS180720P00030000,0.12,0.09,0.14,0.0,0.0,20,20,0.92187578125
2018-06-19 23:16:00.194932,20.07.2018,PUT,32.0,MS180720P00032000,0.2,0.12,0.22,0.0,0.0,5,15,0.8789074609374999
2018-06-19 23:16:00.194932,20.07.2018,PUT,33.0,MS180720P00033000,0.21,0.18,0.25,0.0,0.0,4,0,0.8652357226562499
2018-06-19 23:16:00.194932,20.07.2018,PUT,34.0,MS180720P00034000,0.25,0.17,0.23,0.0,0.0,8,8,0.8007832421875
2018-06-19 23:16:00.194932,20.07.2018,PUT,35.0,MS180720P00035000,0.04,0.0,0.04,0.01,33.333336,6,59,0.51562984375
2018-06-19 23:16:00.194932,20.07.2018,PUT,36.0,MS180720P00036000,0.03,0.0,0.04,-0.29,-90.625,25,50,0.5293015820312501
2018-06-19 23:16:00.194932,20.07.2018,PUT,38.0,MS180720P00038000,0.08,0.01,0.07,0.0,0.0,1,38,0.49414568359375005
2018-06-19 23:16:00.194932,20.07.2018,PUT,39.0,MS180720P00039000,0.04,0.02,0.06,0.0,0.0,10,16,0.4414118359375
2018-06-19 23:16:00.194932,20.07.2018,PUT,40.0,MS180720P00040000,0.05,0.01,0.06,0.020000001,66.66667,25,268,0.4023497265625
2018-06-19 23:16:00.194932,20.07.2018,PUT,41.0,MS180720P00041000,0.13,0.07,0.11,0.0,0.0,40,85,0.40820904296875
2018-06-19 23:16:00.194932,20.07.2018,PUT,42.0,MS180720P00042000,0.05,0.02,0.07,0.020000001,66.66667,4,383,0.335944140625
2018-06-19 23:16:00.194932,20.07.2018,PUT,43.0,MS180720P00043000,0.05,0.05,0.07,-0.040000003,-44.444447,2,162,0.2978585839843749
2018-06-19 23:16:00.194932,20.07.2018,PUT,44.0,MS180720P00044000,0.14,0.13,0.15,0.049999997,55.555553,32,511,0.30664755859375
2018-06-19 23:16:00.194932,20.07.2018,PUT,45.0,MS180720P00045000,0.22,0.2,0.24,0.1,83.333336,5,8945,0.3007882421875
2018-06-19 23:16:00.194932,20.07.2018,PUT,45.5,MS180720P00045500,0.23,0.25,0.67,0.0,0.0,21,0,0.39942006835937505
2018-06-19 23:16:00.194932,20.07.2018,PUT,46.0,MS180720P00046000,0.32,0.3,0.4,0.11999999,59.999996,54,2939,0.301764794921875
2018-06-19 23:16:00.194932,20.07.2018,PUT,46.5,MS180720P00046500,0.39,0.38,0.42,0.0,0.0,7,0,0.28076891113281244
2018-06-19 23:16:00.194932,20.07.2018,PUT,47.0,MS180720P00047000,0.47,0.42,0.57,0.16999999,56.66666,9,3071,0.28955788574218744
2018-06-19 23:16:00.194932,20.07.2018,PUT,47.5,MS180720P00047500,0.57,0.53,0.62,0.0,0.0,27,1,0.27149166015625
2018-06-19 23:16:00.194932,20.07.2018,PUT,48.0,MS180720P00048000,0.67,0.65,0.76,0.15000004,28.846163,108,3324,0.2695385546875
2018-06-19 23:16:00.194932,20.07.2018,PUT,48.5,MS180720P00048500,0.83,0.81,0.9,0.0,0.0,97,0,0.26319096191406255
2018-06-19 23:16:00.194932,20.07.2018,PUT,49.0,MS180720P00049000,1.05,1.03,1.08,0.28999996,38.15789,241,16823,0.2602613037109375
2018-06-19 23:16:00.194932,20.07.2018,PUT,49.5,MS180720P00049500,1.17,1.23,1.29,0.0,0.0,63,1,0.2580640600585938
2018-06-19 23:16:00.194932,20.07.2018,PUT,50.0,MS180720P00050000,1.47,1.46,1.51,0.44000006,42.718452,1594,11906,0.25318129638671877
2018-06-19 23:16:00.194932,20.07.2018,PUT,50.5,MS180720P00050500,1.69,1.71,1.77,0.0,0.0,559,120,0.25049577636718745
2018-06-19 23:16:00.194932,20.07.2018,PUT,51.0,MS180720P00051000,1.99,1.9,2.05,0.0,0.0,30,338,0.24658956542968752
2018-06-19 23:16:00.194932,20.07.2018,PUT,51.5,MS180720P00051500,1.86,2.25,2.37,0.0,0.0,43,43,0.245124736328125
2018-06-19 23:16:00.194932,20.07.2018,PUT,52.0,MS180720P00052000,2.76,2.59,2.71,0.0,0.0,2,3,0.24268335449218748
2018-06-19 23:16:00.194932,20.07.2018,PUT,52.5,MS180720P00052500,3.1,2.98,3.25,0.63999987,26.016253,394,6593,0.2771068383789062
2018-06-19 23:16:00.194932,20.07.2018,PUT,53.0,MS180720P00053000,3.45,3.3,3.6,0.0,0.0,6,2,0.2700268310546875
2018-06-19 23:16:00.194932,20.07.2018,PUT,53.5,MS180720P00053500,3.1,3.6,4.0,0.0,0.0,8,8,0.2695385546875
2018-06-19 23:16:00.194932,20.07.2018,PUT,54.0,MS180720P00054000,4.3,4.05,4.4,0.0,0.0,3,0,0.26416751464843746
2018-06-19 23:16:00.194932,20.07.2018,PUT,54.5,MS180720P00054500,4.65,4.5,4.85,0.0,0.0,4,0,0.2690502783203125
2018-06-19 23:16:00.194932,20.07.2018,PUT,55.0,MS180720P00055000,5.42,4.65,5.8,1.0900002,25.173214,16,19499,0.4062559375
2018-06-19 23:16:00.194932,20.07.2018,PUT,57.0,MS180720P00057000,6.97,5.65,8.15,0.0,0.0,2,0,0.5708050732421875
2018-06-19 23:16:00.194932,20.07.2018,PUT,57.5,MS180720P00057500,7.15,7.15,7.9,0.34000015,4.99266,48,949,0.3930724755859375
2018-06-19 23:16:00.194932,20.07.2018,PUT,60.0,MS180720P00060000,9.19,8.75,11.6,0.0,0.0,1,703,0.7919942675781251
2018-06-19 23:16:00.194932,27.07.2018,CALL,48.0,MS180727C00048000,3.35,2.42,3.35,0.0,0.0,200,83,0.3588931298828125
2018-06-19 23:16:00.194932,27.07.2018,CALL,49.0,MS180727C00049000,2.25,1.9,2.6,-1.25,-35.714287,2,5,0.33130551513671874
2018-06-19 23:16:00.194932,27.07.2018,CALL,50.0,MS180727C00050000,1.54,1.35,2.01,-0.80999994,-34.468086,3,10,0.3188544677734374
2018-06-19 23:16:00.194932,27.07.2018,CALL,51.0,MS180727C00051000,1.18,0.86,1.53,-0.32000005,-21.333336,13,112,0.3117744604492187
2018-06-19 23:16:00.194932,27.07.2018,CALL,52.0,MS180727C00052000,1.09,0.56,1.21,0.0,0.0,1,40,0.31836619140624994
2018-06-19 23:16:00.194932,27.07.2018,CALL,53.0,MS180727C00053000,0.54,0.24,0.82,-0.22999996,-29.870125,1,1024,0.30103238037109376
2018-06-19 23:16:00.194932,27.07.2018,CALL,54.0,MS180727C00054000,0.47,0.16,0.67,0.0,0.0,1425,1447,0.31592480957031244
2018-06-19 23:16:00.194932,27.07.2018,CALL,55.0,MS180727C00055000,0.47,0.16,0.48,0.0,0.0,1,27,0.3139717041015625
2018-06-19 23:16:00.194932,27.07.2018,CALL,56.0,MS180727C00056000,0.22,0.03,0.34,0.0,0.0,4,3,0.3129951513671875
2018-06-19 23:16:00.194932,27.07.2018,CALL,57.0,MS180727C00057000,0.2,0.02,0.47,0.0,0.0,5,5,0.3813538427734374
2018-06-19 23:16:00.194932,27.07.2018,PUT,47.0,MS180727P00047000,0.4,0.48,0.68,0.0,0.0,100,101,0.28394270751953116
2018-06-19 23:16:00.194932,27.07.2018,PUT,48.0,MS180727P00048000,0.58,0.7,0.85,0.0,0.0,5,25,0.25928475097656256
2018-06-19 23:16:00.194932,27.07.2018,PUT,49.0,MS180727P00049000,1.22,0.9,1.46,0.37,43.52941,2,13,0.29614961669921874
2018-06-19 23:16:00.194932,27.07.2018,PUT,50.0,MS180727P00050000,1.5,1.28,1.91,0.27999997,22.950817,240,159,0.2910227148437499
2018-06-19 23:16:00.194932,27.07.2018,PUT,51.0,MS180727P00051000,2.26,1.7,2.46,0.5,28.40909,162,191,0.2880930566406249
2018-06-19 23:16:00.194932,27.07.2018,PUT,52.0,MS180727P00052000,3.13,2.31,3.0,0.98,45.581394,1,3783,0.26978269287109374
2018-06-19 23:16:00.194932,27.07.2018,PUT,53.0,MS180727P00053000,3.4,3.05,3.85,0.70000005,25.925928,130,148,0.2919992675781249
2018-06-19 23:16:00.194932,27.07.2018,PUT,54.0,MS180727P00054000,4.72,3.55,5.5,1.3699999,40.89552,1,59,0.454107021484375
2018-06-19 23:16:00.194932,27.07.2018,PUT,55.0,MS180727P00055000,5.13,4.4,6.4,1.5800002,44.507046,1,12,0.4819387744140625
2018-06-19 23:16:00.194932,27.07.2018,PUT,56.0,MS180727P00056000,5.32,3.3,6.7,0.0,0.0,2,0,0.3830628100585937
2018-06-19 23:16:00.194932,17.08.2018,CALL,40.0,MS180817C00040000,10.05,10.1,10.2,-0.8999996,-8.219175,100,196,0.401373173828125
2018-06-19 23:16:00.194932,17.08.2018,CALL,45.0,MS180817C00045000,5.65,5.4,5.5,-0.5999999,-9.599998,1609,432,0.2929758203124999
2018-06-19 23:16:00.194932,17.08.2018,CALL,50.0,MS180817C00050000,1.99,1.85,1.92,-0.23000002,-10.360361,414,1032,0.24463645996093752
2018-06-19 23:16:00.194932,17.08.2018,CALL,52.5,MS180817C00052500,0.94,0.86,0.9,-0.17000002,-15.315316,246,2823,0.23389437988281248
2018-06-19 23:16:00.194932,17.08.2018,CALL,55.0,MS180817C00055000,0.37,0.34,0.37,-0.09,-19.565218,786,2742,0.2304764453125
2018-06-19 23:16:00.194932,17.08.2018,CALL,57.5,MS180817C00057500,0.16,0.13,0.15,-0.02000001,-11.111116,266,4366,0.23535920898437498
2018-06-19 23:16:00.194932,17.08.2018,CALL,60.0,MS180817C00060000,0.12,0.09,0.13,-0.04,-25.0,20,45,0.27930408203124996
2018-06-19 23:16:00.194932,17.08.2018,CALL,62.5,MS180817C00062500,0.05,0.03,0.07,0.0,0.0,1,2,0.2919992675781249
2018-06-19 23:16:00.194932,17.08.2018,CALL,65.0,MS180817C00065000,0.14,0.0,0.03,0.0,0.0,2,1,0.2929758203124999
2018-06-19 23:16:00.194932,17.08.2018,PUT,40.0,MS180817P00040000,0.1,0.09,0.12,0.030000001,42.857143,102,914,0.3320379296875
2018-06-19 23:16:00.194932,17.08.2018,PUT,45.0,MS180817P00045000,0.48,0.46,0.49,0.119999975,33.333324,94,1110,0.2749095947265625
2018-06-19 23:16:00.194932,17.08.2018,PUT,50.0,MS180817P00050000,1.93,1.95,2.0,0.37,23.71795,248,4555,0.24463645996093752
2018-06-19 23:16:00.194932,17.08.2018,PUT,52.5,MS180817P00052500,3.39,3.45,3.55,0.51,17.708332,65,1889,0.24390404541015626
2018-06-19 23:16:00.194932,17.08.2018,PUT,55.0,MS180817P00055000,5.65,5.4,5.55,0.9500003,20.212772,56,1121,0.25025163818359375
2018-06-19 23:16:00.194932,17.08.2018,PUT,57.5,MS180817P00057500,7.95,7.75,7.85,1.1699996,17.256632,43,87,0.27197993652343744
2018-06-19 23:16:00.194932,17.08.2018,PUT,60.0,MS180817P00060000,8.61,6.8,9.65,0.0,0.0,1,37,1.0000000000000003e-05
2018-06-19 23:16:00.194932,17.08.2018,PUT,70.0,MS180817P00070000,20.25,19.65,20.2,1.1000004,5.7441278,67,192,0.445318046875
2018-06-19 23:16:00.194932,21.09.2018,CALL,50.0,MS180921C00050000,2.42,2.31,2.35,0.0,0.0,80,8,0.23633576171874998
